title,price,description,reviews,image_url,extra_spec,product_url,category,subcategory,source_page
Packard 255 G2,416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/static/product/31,Computers,Laptops,1
Aspire E1-510,306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/32,Computers,Laptops,1
ThinkPad T540p,1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/33,Computers,Laptops,1
ProBook,739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/34,Computers,Laptops,1
ThinkPad X240,1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/35,Computers,Laptops,1
Aspire E1-572G,581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",https://webscraper.io/test-sites/e-commerce/static/product/36,Computers,Laptops,1
ThinkPad Yoga,1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",https://webscraper.io/test-sites/e-commerce/static/product/37,Computers,Laptops,2
Pavilion,609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/static/product/38,Computers,Laptops,2
Inspiron 15,745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",https://webscraper.io/test-sites/e-commerce/static/product/39,Computers,Laptops,2
Dell XPS 13,1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",https://webscraper.io/test-sites/e-commerce/static/product/40,Computers,Laptops,2
ThinkPad X230,1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",https://webscraper.io/test-sites/e-commerce/static/product/41,Computers,Laptops,2
